group,category,attack_type,attack_level,count,avg_extraction_rate_percent,avg_ber
1024p,Crops,crop,BothHorizontal_25,5,66.25,0.1188
1024p,Crops,crop,BothHorizontal_50,5,50,0.1903
1024p,Crops,crop,BothHorizontal_75,5,17.5,0.2896
1024p,Crops,crop,BothVertical_25,5,60,0.1406
1024p,Crops,crop,BothVertical_50,5,50,0.1875
1024p,Crops,crop,BothVertical_75,5,20,0.283
1024p,Crops,crop,Bottom_25,5,75,0.0931
1024p,Crops,crop,Bottom_50,5,50,0.1868
1024p,Crops,crop,Bottom_75,5,25,0.2708
1024p,Crops,crop,Left_25,5,75,0.0903
1024p,Crops,crop,Left_50,5,50,0.184
1024p,Crops,crop,Left_75,5,25,0.2708
1024p,Crops,crop,Right_25,5,75,0.1
1024p,Crops,crop,Right_50,5,50,0.1868
1024p,Crops,crop,Right_75,5,25,0.2806
1024p,Crops,crop,Top_25,5,75,0.1
1024p,Crops,crop,Top_50,5,50,0.184
1024p,Crops,crop,Top_75,5,25,0.2778
1024p,Filters,gamma,,5,90,0.0278
1024p,Filters,gaussian_blur,3,5,15,0.2896
1024p,Filters,gaussian_blur,5,5,15,0.3496
1024p,Filters,gaussian_blur,7,5,10,0.3396
1024p,Filters,gaussian_noise,0.05,5,100,0.0028
1024p,Filters,gaussian_noise,0.1,5,100,0.0028
1024p,Filters,gaussian_noise,0.2,5,100,0.0028
1024p,Filters,histogram_equalization,,5,98.75,0.0028
1024p,Filters,jpeg,70,5,25,0.2694
1024p,Filters,jpeg,80,5,22.5,0.2747
1024p,Filters,jpeg,90,5,61.25,0.0792
1024p,Filters,mean_filter,3,5,78.75,0.0594
1024p,Filters,mean_filter,5,5,61.25,0.1076
1024p,Filters,median_filter,3,5,90,0.0142
1024p,Filters,median_filter,5,5,81.25,0.0424
1024p,Filters,median_filter,7,5,37.5,0.176
1024p,Filters,motion_blur,3,5,87.5,0.0434
1024p,Filters,motion_blur,5,5,97.5,0.0052
1024p,Filters,motion_blur,7,5,73.75,0.0625
1024p,Filters,salt_pepper,0.05,5,10,0.3021
1024p,Filters,salt_pepper,0.1,5,7.5,0.3431
1024p,Filters,salt_pepper,0.2,5,6.25,0.3594
1024p,Filters,sharpening,,5,100,0
1024p,Geometric,horizontal_flip,,5,10,0.3688
1024p,Geometric,rotation,-10,5,10,0.3524
1024p,Geometric,rotation,10,5,12.5,0.3403
1024p,Geometric,rotation,5,5,10,0.3674
1024p,Geometric,translation,x2_y2,5,96.25,0.0052
1024p,Geometric,translation,x4_y4,5,23.75,0.2264
1024p,Resize,resize,110,5,98.75,0.0031
1024p,Resize,resize,90,5,61.25,0.0507
1080p,Crops,crop,BothHorizontal_25,5,73.75,0.0844
1080p,Crops,crop,BothHorizontal_50,5,50,0.1913
1080p,Crops,crop,BothHorizontal_75,5,23.75,0.2722
1080p,Crops,crop,BothVertical_25,5,66.25,0.1173
1080p,Crops,crop,BothVertical_50,5,50,0.1875
1080p,Crops,crop,BothVertical_75,5,30,0.2545
1080p,Crops,crop,Bottom_25,5,75,0.0941
1080p,Crops,crop,Bottom_50,5,50,0.1878
1080p,Crops,crop,Bottom_75,5,25,0.2708
1080p,Crops,crop,Left_25,5,75,0.0952
1080p,Crops,crop,Left_50,5,50,0.1889
1080p,Crops,crop,Left_75,5,25,0.2757
1080p,Crops,crop,Right_25,5,75,0.1007
1080p,Crops,crop,Right_50,5,50,0.1875
1080p,Crops,crop,Right_75,5,25,0.2813
1080p,Crops,crop,Top_25,5,75,0.1055
1080p,Crops,crop,Top_50,5,50,0.1885
